Row Type,Campaign,Campaign Status,Campaign Type,Networks,Daily Budget,Budget Type,Bid Strategy Type,Target CPA,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2
Campaign,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,,,,,,,,,,,,,,,,,,,,,,,,,,https://idlookup.ai/name/landing/v11?shns=1&intent=people_search,,
Ad group,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,,,,,,,,,,,,,,,,,,,,,,,https://idlookup.ai/name/landing/v11?shns=1&intent=people_search&adgroup=people_search_free,,
Ad group,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,,,,,,,,,,,,,,,,,,,,,,,https://idlookup.ai/name/landing/v11?shns=1&intent=people_search&adgroup=find_people_free,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,people search free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,free people search,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,people search free,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,free people search,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,people lookup free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,people lookup free,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,look up people for free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,people search free public records,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,find people for free,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,find people free,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,find people for free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,free people finder,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,people finder free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,how to find someone for free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,free search for people,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,peoplefinders free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Responsive search ad,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,,,Paused,Free People Search,Search By Name,Find Contact Info,People Lookup Online,Fast Name Search,IDLookup.ai,,,,,,,,,,Search by name and view available public record details in one place.,Start with a name to find possible addresses phone numbers and more.,,,https://idlookup.ai/name/landing/v11?shns=1&intent=people_search&adgroup=people_search_free,people-search,name
Responsive search ad,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,People Search Free,Paused,1.50,,,Paused,People Search By Name,Find Someone Online,Search Public Records,Lookup Contact Info,Simple Name Search,IDLookup.ai,,,,,,,,,,Use IDLookup.ai to search available people data by name.,Find possible contact details and public records from a simple name search.,,,https://idlookup.ai/name/landing/v11?shns=1&intent=people_search&adgroup=people_search_free,people-search,lookup
Responsive search ad,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,,,Paused,Find People Online,Search By Full Name,Find Someone Fast,People Finder Search,View Available Records,IDLookup.ai,,,,,,,,,,Enter a name to search for possible addresses phone numbers and records.,Find people online with a simple search experience from IDLookup.ai.,,,https://idlookup.ai/name/landing/v11?shns=1&intent=people_search&adgroup=find_people_free,find-people,name
Responsive search ad,IDL - People Search Free,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Find People Free,Paused,1.50,,,Paused,Find Someone By Name,People Finder Online,Search Public Data,Lookup People Fast,Start With A Name,IDLookup.ai,,,,,,,,,,Search available public data and possible contact details by name.,Try a people search for possible addresses phone numbers and more.,,,https://idlookup.ai/name/landing/v11?shns=1&intent=people_search&adgroup=find_people_free,find-people,lookup
