Campaign report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 1, 2026 - August 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Account,Campaign type,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Bid strategy type,Viewable CTR,Avg. viewable CPM,Viewable impr.,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Paused,Names ps Campaign (PU),300,--,Daily,USD,Paused,campaign paused,--,Original,Search,0,0,0,--,0,0,0,0,0,Maximize clicks,--,0,0,0,0%,0,0,0,0,0,0
Enabled,"Crim Rec - Arrests, Jail (BC)",30,--,Daily,USD,Eligible (Limited),missing enough relevant keywords,81.37,Original,Search,154.27,1005,81,8.06%,1.91,155.05,0,0,0,Target CPA,--,0,0,81,11.11%,310,2,9,1.91,17.23,310
Enabled,Inmates - Mugshots,950,--,Daily,USD,Eligible (Limited),search volume limited; missing enough relevant keywords,67.93,Original,Search,55.53,310,25,8.06%,0.69,17.21,0,0,0,Target CPA,--,0,0,25,4%,40,2.32,1,0.69,17.21,40
Enabled,inmate (search) - tCPA,2600,--,Daily,USD,Ended,campaign ended; All ad groups paused,--,Original,Search,0,0,0,--,0,0,0,0,0,Target CPA,--,0,0,0,0%,0,0,0,0,0,0
Enabled,locate (Search Phrase) - No $1 in Ad copy (just Credit Card required),310,--,Daily,USD,Ended,campaign ended; All ad groups paused,--,Original,Search,0,0,0,--,0,0,0,0,0,Target CPA,--,0,0,0,0%,0,0,0,0,0,0
Enabled,Compet - General (PSs),300,--,Daily,USD,Eligible,,84.76,Main,Search,107.21,420,22,5.24%,2.05,45.03,0,0,0,Target CPA,--,0,0,22,13.64%,70,1.55,3,2.05,15.01,70
Paused,Names CA (Search Phrase),500,--,Daily,USD,Paused,campaign paused,--,Original,Search,0,0,0,--,0,0,0,0,0,Target CPA,--,0,0,0,0%,0,0,0,0,0,0
Paused,RD_Mugshots,20,--,Daily,USD,Paused,campaign paused; most ads disapproved,--,Original,Display,0,0,0,--,0,0,0,0,0,Maximize Conversions,--,0,0,0,0%,0,0,0,0,0,0
Enabled,people find (search) - HHI upper 50,310,--,Daily,USD,Ended,campaign ended; All ad groups paused,--,Original,Search,0,0,0,--,0,0,0,0,0,Target CPA,--,0,0,0,0%,0,0,0,0,0,0
Paused,Arrests (Search),200,--,Daily,USD,Paused,campaign paused,--,Original,Search,0,0,0,--,0,0,0,0,0,Manual CPC,--,0,0,0,0%,0,0,0,0,0,0
Enabled,Dating - Cheating,300,--,Daily,USD,Eligible (Limited),unknown; some ads disapproved,83,Original,Search,0,6,0,0%,0,0,0,0,0,Target CPA,--,0,0,0,0%,0,0,0,0,0,0
