hour,us_landings,nonus_landings
08-21 20:00,0,5
08-21 21:00,4,66
08-21 22:00,4,61
08-21 23:00,1,66
08-22 00:00,4,60
08-22 01:00,2,77
08-22 02:00,2,60
08-22 03:00,2,54
08-22 04:00,0,57
08-22 05:00,1,63
08-22 06:00,0,42
08-22 07:00,2,59
08-22 08:00,0,41
08-22 09:00,1,86
08-22 10:00,0,61
08-22 11:00,1,114
08-22 12:00,2,87
08-22 13:00,2,53
08-22 14:00,3,59
08-22 15:00,0,56
08-22 16:00,3,92
08-22 17:00,2,78
08-22 18:00,3,83
08-22 19:00,1,97
08-22 20:00,3,101
08-22 21:00,7,90
08-22 22:00,3,50
08-22 23:00,2,74
08-23 00:00,2,121
08-23 01:00,1,113
08-23 02:00,2,90
08-23 03:00,2,123
08-23 04:00,1,87
08-23 05:00,0,76
08-23 06:00,4,81
08-23 07:00,0,116
08-23 08:00,0,126
08-23 09:00,1,96
08-23 10:00,0,81
08-23 11:00,0,92
08-23 12:00,0,106
08-23 13:00,2,84
08-23 14:00,2,138
08-23 15:00,2,120
08-23 16:00,5,118
08-23 17:00,3,66
08-23 18:00,2,129
08-23 19:00,1,145
08-23 20:00,2,126
08-23 21:00,2,133
08-23 22:00,1,112
08-23 23:00,2,158
08-24 00:00,2,123
08-24 01:00,3,143
08-24 02:00,6,84
08-24 03:00,3,111
08-24 04:00,1,110
08-24 05:00,1,143
08-24 06:00,0,152
08-24 07:00,1,167
08-24 08:00,0,126
08-24 09:00,1,142
08-24 10:00,0,103
08-24 11:00,1,134
08-24 12:00,2,110
08-24 13:00,2,117
08-24 14:00,2,92
08-24 15:00,4,100
08-24 16:00,12,148
08-24 17:00,2,91
