# ----------------------------------------,,,,,,,,,,
# Demographic details,,,,,,,,,,
# Account: pds,,,,,,,,,,
# Property: idlookup.ai,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
#,,,,,,,,,,
# All Users,,,,,,,,,,
# Start date: 20260725,,,,,,,,,,
# End date: 20260823,,,,,,,,,,
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
Singapore,7125,6860,2030,0.2835987706,0.2849122807,2.077614035,34786,0,0,0
United States,3834,3792,3287,0.7056676685,0.8573291601,167.5456442,99145,256,0.06624934794,256
Brazil,724,3,207,0.2851239669,0.2859116022,8.267955801,987,0,0,0
Pakistan,306,8,93,0.3039215686,0.3039215686,8.369281046,464,0,0,0
Vietnam,302,0,65,0.2152317881,0.2152317881,7.589403974,416,0,0,0
Bangladesh,234,7,55,0.2291666667,0.235042735,21.71794872,696,1,0.004273504274,1
Ukraine,234,4,93,0.3974358974,0.3974358974,9.807692308,326,0,0,0
Argentina,196,9,70,0.3535353535,0.3571428571,13.71938776,538,0,0,0
Mexico,194,26,61,0.3065326633,0.3144329897,33.1443299,976,1,0.005154639175,1
Russia,157,2,57,0.3653846154,0.3630573248,8.01910828,214,0,0,0
France,154,4,27,0.1753246753,0.1753246753,6.480519481,255,0,0,0
South Africa,150,7,66,0.4370860927,0.44,17.32666667,381,1,0.006666666667,1
Venezuela,144,10,48,0.3333333333,0.3333333333,12.95833333,320,0,0,0
Iraq,143,2,52,0.3636363636,0.3636363636,9.230769231,227,0,0,0
Saudi Arabia,122,2,28,0.2295081967,0.2295081967,15.36885246,224,1,0.008196721311,1
Tunisia,118,0,19,0.1610169492,0.1610169492,5.949152542,151,0,0,0
Uzbekistan,112,1,44,0.3928571429,0.3928571429,10.34821429,158,0,0,0
Morocco,107,4,36,0.3302752294,0.3364485981,12.80373832,243,0,0,0
Nigeria,105,28,55,0.474137931,0.5238095238,57.40952381,995,0,0,0
