Campaign report
"June 23, 2026 - June 29, 2026"
Day,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Clicks,Avg. CPC,Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost,All conv.
2026-06-23,Enabled,Death - Upper,50.00, --,Daily,USD,Eligible (Learning),bidding strategy learning; some ads limited by policy,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-24,Enabled,Death - Upper,50.00, --,Daily,USD,Eligible (Learning),bidding strategy learning; some ads limited by policy,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-25,Enabled,Death - Upper,50.00, --,Daily,USD,Eligible (Learning),bidding strategy learning; some ads limited by policy,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-26,Enabled,Death - Upper,50.00, --,Daily,USD,Eligible (Learning),bidding strategy learning; some ads limited by policy,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-27,Enabled,Death - Upper,50.00, --,Daily,USD,Eligible (Learning),bidding strategy learning; some ads limited by policy,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-28,Enabled,Death - Upper,50.00, --,Daily,USD,Eligible (Learning),bidding strategy learning; some ads limited by policy,53.44,26,2.06,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-29,Enabled,Death - Upper,50.00, --,Daily,USD,Eligible (Learning),bidding strategy learning; some ads limited by policy,54.05,33,1.64,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-23,Paused,Divorce - Lower,75.00, --,Daily,USD,Paused,campaign paused; All ads paused,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-24,Paused,Divorce - Lower,75.00, --,Daily,USD,Paused,campaign paused; All ads paused,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-25,Paused,Divorce - Lower,75.00, --,Daily,USD,Paused,campaign paused; All ads paused,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-26,Paused,Divorce - Lower,75.00, --,Daily,USD,Paused,campaign paused; All ads paused,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-27,Paused,Divorce - Lower,75.00, --,Daily,USD,Paused,campaign paused; All ads paused,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-28,Paused,Divorce - Lower,75.00, --,Daily,USD,Paused,campaign paused; All ads paused,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-29,Paused,Divorce - Lower,75.00, --,Daily,USD,Paused,campaign paused; All ads paused,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-23,Paused,Divorce - Upper,500.00, --,Daily,USD,Paused,campaign paused; All ads paused; campaign pending,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-24,Paused,Divorce - Upper,500.00, --,Daily,USD,Paused,campaign paused; All ads paused; campaign pending,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-25,Paused,Divorce - Upper,500.00, --,Daily,USD,Paused,campaign paused; All ads paused; campaign pending,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-26,Paused,Divorce - Upper,500.00, --,Daily,USD,Paused,campaign paused; All ads paused; campaign pending,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-27,Paused,Divorce - Upper,500.00, --,Daily,USD,Paused,campaign paused; All ads paused; campaign pending,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-28,Paused,Divorce - Upper,500.00, --,Daily,USD,Paused,campaign paused; All ads paused; campaign pending,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
2026-06-29,Paused,Divorce - Upper,500.00, --,Daily,USD,Paused,campaign paused; All ads paused; campaign pending,0.00,0,0,0.00,0.00,0.00%,0.00,0.00,0.00
