Search terms report
"June 23, 2026 - June 29, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
obits,Exact match (close variant),None,Death - Upper,Death Records - hhi lower 50,0,2,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
public birth records,Phrase match (close variant),None,Death - Upper,Marriage Records - HHI UPPER 50,1,1,100.00%,USD,1.57,1.57,Search,0.00%,0.00,0.00
nationwide obituary,Broad match,None,Death - Upper,Obituaries,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
look up marriage license,Exact match (close variant),None,Death - Upper,Marriage Licenses - hhi lower 50,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
search mugshots,Exact match (close variant),None,Inmates - Upper,Mugshots,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to search for inmates in jail,Exact match (close variant),None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mugshot,Broad match,None,Inmates - Upper,Inmate Search (IS) #2,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to find out if someone is out on bond,AI Max,None,Inmates - Upper,Prison,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
desoto county jail inmate search,Phrase match (close variant),None,Inmates - Upper,Inmate Search (PR),0,2,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
weld county inmate search by name,Phrase match,None,Inmates - Upper,Inmate Search (PR),0,2,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
las vegas arrests public record,Broad match,None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how can i see if someone is in jail,Exact match (close variant),None,Inmates - Upper,Prison,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
robertson county tn recent arrests,Phrase match (close variant),None,Inmates - Upper,Jail,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
free online mugshot search,Exact match (close variant),None,Inmates - Upper,Mugshots,1,2,50.00%,USD,1.82,1.82,Search,0.00%,0.00,0.00
mugshots look up,Exact match (close variant),None,Inmates - Upper,Mugshots,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
inmate roster,Phrase match (close variant),None,Inmates - Upper,Prison,1,3,33.33%,USD,0.40,0.40,Search,0.00%,0.00,0.00
how do you look up an inmate,Exact match (close variant),None,Inmates - Upper,Prison,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lookup inmate,Exact match (close variant),None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
tennessee inmate lookup,Phrase match (close variant),None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
inmate locator new mexico,Phrase match (close variant),None,Inmates - Upper,Prison,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
best jail inmate search,Exact match (close variant),None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usa criminal records,AI Max,None,Inmates - Upper,Jail,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
list of recent obituaries,Exact match (close variant),None,Death - Upper,Death Records,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mcso inmate search by name,Phrase match,None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
pima county jail court live stream,Broad match,None,Inmates - Upper,Inmate Search (PR),1,6,16.67%,USD,1.34,1.34,Search,0.00%,0.00,0.00
nyc inmate lookup,Phrase match (close variant),None,Inmates - Upper,Prison,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hardin county jail records,Phrase match (close variant),None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nj inmate mugshots,Phrase match (close variant),None,Inmates - Upper,Mugshots,0,2,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to check if someone is in jail,Exact match (close variant),None,Inmates - Upper,Inmate Search (PR),0,2,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bop inmate locator,AI Max,None,Inmates - Upper,Jail,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bexar county inmate search photos,Phrase match,None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
girl inmate,Phrase match (close variant),None,Inmates - Upper,Inmate Search (PR),0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to find free arrest records,AI Max,None,Inmates - Upper,Mugshots,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
free ancestry website,Broad match,None,Death - Upper,Death Records,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
utah online marriage,Phrase match (close variant),None,Death - Upper,Marriage Licenses - HHI UPPER 50,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usa mugshot,Phrase match (close variant),None,Inmates - Upper,Mugshots,0,1,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
